OriginalPath,OriginalName,ProposedName,Ext,Status,Snippet
resume/4931.docx,4931.docx,Statement Work Bgs Rewrite-phase Exhibit Statement.docx,.docx,Renamed,Statement of Work   For  BGS Rewrite-Phase 2                                                                                                                                          	         EXHIBIT 
resume/4932.docx,4932.docx,Statement Work Bgs Rewrite-phase Exhibit Statement.docx,.docx,Renamed,Statement of Work   For  BGS Rewrite-Phase 2                                                                                                                                          	         EXHIBIT 
resume/4935.docx,4935.docx,Weekly Status Report Project Binnys Overview.docx,.docx,Renamed,"WEEKLY STATUS REPORT Project: Binny’s 
OVERVIEW 
ACTION ITEMS (from past week) Konstantine will discuss with Chris about a way to facilitate testing on production endpoint: https://binnys.atlassian.ne"
resume/4937.docx,4937.docx,Weekly Status Report Project Binnys Overview.docx,.docx,Renamed,"WEEKLY STATUS REPORT Project: Binny’s 
OVERVIEW 
ACTION ITEMS (from past week) Konstantine will discuss with Chris about a way to facilitate testing on production endpoint: https://binnys.atlassian.ne"
resume/4548.docx,4548.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.) Product Manager for 1.5 years at Stave, working 5 products on product roadmap, user story, wireframe, def"
resume/4627.docx,4627.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI Core Product Set STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS INC.
resume/4617.docx,4617.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,"SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI, NHXS & ClaimLogic STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS IN"
resume/4648.docx,4648.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI Core Product Set STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS INC.
resume/3382.docx,3382.docx,Madeleine Suszka Madeleinesuszka1gmail.com 312-388-0240 Linkedin.cominmsuszka Maddiesuszka.com.docx,.docx,Renamed,"MADELEINE SUSZKA madeleinesuszka1@gmail.com | 312-388-0240 | linkedin.com/in/msuszka/ | maddiesuszka.com  EXPERIENCE Product Owner, eVestment, a NASDAQ Company 						                        2020-Prese"
resume/3409.docx,3409.docx,Welcome Cognizant Softvision Know You Have.docx,.docx,Renamed,Welcome to Cognizant Softvision!  We know you have been inundated with a great deal of information in a very short period of time. We want to help you stay organized around activities that will make y
resume/3406.docx,3406.docx,Madeleine Suszka Madeleinesuszka1gmail.com 312-388-0240 Linkedin.cominmsuszka Maddiesuszka.com.docx,.docx,Renamed,"MADELEINE SUSZKA madeleinesuszka1@gmail.com | 312-388-0240 | linkedin.com/in/msuszka/ | maddiesuszka.com  EXPERIENCE Product Owner, eVestment, a NASDAQ Company 						                        2020-Prese"
resume/3421.docx,3421.docx,Madeleine Suszka Madeleinesuszka1gmail.com 312-388-0240 Linkedin.cominmsuszka Maddiesuszka.com.docx,.docx,Renamed,"MADELEINE SUSZKA madeleinesuszka1@gmail.com | 312-388-0240 | linkedin.com/in/msuszka/ | maddiesuszka.com  EXPERIENCE Product Owner, eVestment, a NASDAQ Company 						                        2020-Prese"
resume/3536.docx,3536.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  MJ is currently a Lead Business System Analyst with Data Prime Consulting and Investments, working on de"
resume/3541.docx,3541.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  Sanjeev is currently Lead Product Owner with GlobalLogic, working on practice management software for an"
resume/3542.docx,3542.docx,Sanjeev Jain 310 948 1721 Sanjeev_jain2yahoo.com.docx,.docx,Renamed,"SANJEEV JAIN				 +1 310 948 1721  sanjeev_jain2@yahoo.com    An accomplished product manager and product marketer with extensive experience in enterprise applications, platforms and solutions Graduate"
resume/3540.docx,3540.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  Phoebe is currently a Sr. Product Manager with USAA, leading the banking mobile platform. She shepherded"
resume/3551.docx,3551.docx,Statement Work Master Services Agreement Dated.docx,.docx,Renamed,"STATEMENT OF WORK TO MASTER SERVICES AGREEMENT DATED October 9, 2020 BY AND BETWEEN American Challenger Development Corp. AND Cognizant Worldwide Limited  Contents  Figure 1: Cognizant Workstream Stru"
resume/3553.docx,3553.docx,Title Product Owner Location Tbd Who.docx,.docx,Renamed,"Title:  SW Product Owner Location: TBD  Who we are:    We love to tackle big features, as well as nitpick small details. We solve for real problems, not just check the boxes for stated requirements. W"
resume/2060.docx,2060.docx,Usability Insights Overview Conducting Usability Tests.docx,.docx,Renamed,"Usability Insights   Overview  By conducting usability tests, we are able to effectively test what works well for customers and what doesn’t.  It produces comprehensive behavioral data and is the most"
resume/2059.docx,2059.docx,Recruitment Email Hello Trizetto Working Exploration.docx,.docx,Renamed,"Recruitment Email   Hello,   TriZetto is working on an exploration of the current experience across ClaimLogic, GEDI and NHXS.   As a [TOOL NAME] user, your perspective and insight is crucial to impro"
resume/2074.docx,2074.docx,Paul Singh Product Manager Atlanta Experience.docx,.docx,Renamed,"Paul Singh Product Manager | Atlanta, GA    EXPERIENCE HIGHLIGHTS Proficient Product Manager with three plus years of experience in industries such as: Quick Serve Restaurants – Mobile application dis"
resume/2083.docx,2083.docx,Emiliano Emanuel Musacco Buenos Aires Experience.docx,.docx,Renamed,"Emiliano Emanuel Musacco BA | Buenos Aires  EXPERIENCE HIGHLIGHTS 10+ years of experience as a BA in different industries such as: telecommunications, health, metal industry, security  PM Career, Scru"
resume/2106.docx,2106.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2107.docx,2107.docx,,.docx,No meaningful text,
resume/2119.docx,2119.docx,Esteban Solis Business Analyst Product Manager.docx,.docx,Renamed,"Esteban Solis Business Analyst / Product Manager | Austin Texas  EXPERIENCE HIGHLIGHTS Experience working with pair programmers, and agile methodology. At American Airlines, my efforts allowed the Buy"
resume/2134.docx,2134.docx,Usability Insights Overview Conducting Usability Tests.docx,.docx,Renamed,"Usability Insights   Overview  By conducting usability tests, we are able to effectively test what works well for customers and what doesn’t.  It produces comprehensive behavioral data and is the most"
resume/2133.docx,2133.docx,Recruitment Email Hello Trizetto Working Exploration.docx,.docx,Renamed,"Recruitment Email   Hello,   TriZetto is working on an exploration of the current experience across ClaimLogic, GEDI and NHXS.   As a [TOOL NAME] user, your perspective and insight is crucial to impro"
resume/2153.docx,2153.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2155.docx,2155.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI Core Product Set STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS INC.
resume/2270.docx,2270.docx,George Peters Product Manager Orange County.docx,.docx,Renamed,"George Peters Product Manager | Orange County, California   EXPERIENCE HIGHLIGHTS Years of Experience in Role: 15 years Industries: Healthcare, Scientific Instruments, Oil & Gas, Food & Beverage, Cons"
resume/2271.docx,2271.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2296.docx,2296.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2340.docx,2340.docx,George Peters Product Manager Orange County.docx,.docx,Renamed,"George Peters Product Manager | Orange County, California   EXPERIENCE HIGHLIGHTS Years of Experience in Role: 15 years Industries: Healthcare, Scientific Instruments, Oil & Gas, Food & Beverage, Cons"
resume/2370.docx,2370.docx,Meenakshi Viswanathan Senior Product Manager Alpharetta.docx,.docx,Renamed,"Meenakshi Viswanathan Senior Product Manager | Alpharetta, GA    EXPERIENCE HIGHLIGHTS. Over 13 years of experience in Analysis, Design, Development, Testing & Implementation of software applications "
resume/2364.docx,2364.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2363.docx,2363.docx,Esteban Solis Business Analyst Product Manager.docx,.docx,Renamed,"Esteban Solis Business Analyst / Product Manager | Austin Texas  EXPERIENCE HIGHLIGHTS Experience working with pair programmers, and agile methodology. At American Airlines, my efforts allowed the Buy"
resume/2390.docx,2390.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2398.docx,2398.docx,Final Discovery Project Deliverables Ingeniorxs Pharmacy.docx,.docx,Renamed,"Final Discovery Project Deliverables for  IngenioRx’s Pharmacy Benefit Management Digital Product  February 7, 2020          Purpose The purpose of this document is to provide the key documentation de"
resume/2422.docx,2422.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:    Current work situation (Job title, responsibilities, etc)   Justin is currently a Mobile Product Owner with Ally Financial who is currently responsible for ACH tra"
resume/2463.docx,2463.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:    Current work situation (Job title, responsibilities, etc)   Justin is currently a Mobile Product Owner with Ally Financial who is currently responsible for ACH tra"
resume/2609.docx,2609.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/2607.docx,2607.docx,Joseph Kan Summary Education Certifications.docx,.docx,Renamed,Joseph kan Summary Education & Certifications
resume/2621.docx,2621.docx,Humana Research Future Wellness Current Go365.docx,.docx,Renamed,"Humana Research – Future of Wellness  Current Go365 Employee wellness program through incentives, effecting employees in motivation, behavior, and decision-making.  Benefits: Reduce Healthcare Cost In"
resume/2623.docx,2623.docx,Humana Research Future Wellness Current Go365.docx,.docx,Renamed,"Humana Research – Future of Wellness  Current Go365 Employee wellness program through incentives, effecting employees in motivation, behavior, and decision-making.  Benefits: Reduce Healthcare Cost In"
resume/2633.docx,2633.docx,Statement Work Statement Work Sow Entered.docx,.docx,Renamed,Statement of Work for   This Statement of Work (“SOW”) is entered into as of  202 (the “SOW Effective Date”) by and between Cognizant Worldwide Limited (“Service Partner”) and Fidelity Information Ser
resume/2636.docx,2636.docx,Summary Sharp-minded Product Manager Talent Trainer.docx,.docx,Renamed,"Summary:  A sharp-minded product manager and talent trainer who takes pride in his ability to translate complex technical solutions into simple ideas.  Described by others as a ""technology evangelist"""
resume/2637.docx,2637.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  Ari is currently a Product Platform Lead and Product Manager with RelayHealth Pharmacy. He does configur"
resume/2689.docx,2689.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  Meena is currently Product Manager at United Healthcare, working on supporting the Unified Data Warehous"
resume/2749.docx,2749.docx,Product Management Playbook V1.2.1 About Playbook.docx,.docx,Renamed,"Product Management Playbook v1.2.1 About this Playbook This playbook outlines the key functions and activities of Product Management at Cognizant. As such, the Playbook is intended for three main audi"
resume/2747.docx,2747.docx,Product Management Playbook V1.2.1 About Playbook.docx,.docx,Renamed,"Product Management Playbook v1.2.1 About this Playbook This playbook outlines the key functions and activities of Product Management at Cognizant. As such, the Playbook is intended for three main audi"
resume/2951.docx,2951.docx,G.net Gilead Wide Reach Survey Objective.docx,.docx,Renamed,G.NET Gilead Wide Reach Survey Objective: Our objective is to gather behavioral data on how users interact with G.Net features and functionality and how they consume the content. Goal: To get a deeper
resume/2966.docx,2966.docx,2019 Key2wellness Innovation Challenge Pitch Financial.docx,.docx,Renamed,"2019 Key2Wellness Innovation Challenge: Pitch to Financial Progress Call for Proposals  Tuesday, December 17, 2019 | KeyBank Offices  Hosted by the KeyBank Financial Wellness Strategy Team   Thank you"
resume/2981.docx,2981.docx,George Peters Executive Summary Innovative Results-driven.docx,.docx,Renamed,George Peters	   Executive Summary  Innovative results-driven Product Manager with extensive experience interacting with customers and managing the product development life cycle from the business cas
resume/1919.docx,1919.docx,Welcome Cognizant Softvision Know You Have.docx,.docx,Renamed,Welcome to Cognizant Softvision!  We know you have been inundated with a great deal of information in a very short period of time. We want to help you stay organized around activities that will make y
resume/28.docx,28.docx,Kevin Powers Information Technology Project Management.docx,.docx,Renamed,"Kevin Powers  Information Technology, Project Management and Client Relationship Professional.   Certified Agile Scrum Master		Certified Agile Product Owner Accomplishments: Designed and implemented t"
resume/101.docx,101.docx,Gerald Hicks Metropolitan Atlanta 770.329.3038 Www.linkedin.comingerald-hicks.docx,.docx,Renamed,"Gerald Hicks Metropolitan Atlanta, GA 	 770.329.3038 www.linkedin.com/in/gerald-hicks 	 gphicks11@live.com   Product Owner Versatile software leader with a unique combination of technical and business"
resume/129.docx,129.docx,Gerald Hicks Metropolitan Atlanta 770.329.3038 Www.linkedin.comingerald-hicks.docx,.docx,Renamed,"Gerald Hicks Metropolitan Atlanta, GA 	 770.329.3038 www.linkedin.com/in/gerald-hicks 	 gphicks11@live.com   Product Owner Versatile software leader with a unique combination of technical and business"
resume/130.docx,130.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:    Current work situation (Job title, responsibilities, etc)   Gerald was caught in the second round of layoffs late last year with NCR. He had spent the last 7 years"
resume/163.docx,163.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:       Current work situation (Job title, responsibilities, etc) Product Manager II with AMA Has managed multiple projects in an agile environment and has experience w"
resume/162.docx,162.docx,Mark Ruthman 3404 Seminary Chicago 60657.docx,.docx,Renamed,"Mark Ruthman 3404 N. Seminary, Chicago, IL 60657 773-510-9010   	remark47@yahoo.com SUMMARY OF QUALIFICATIONS: Strategically leveraging technology and data to create solutions in digital publishing, c"
resume/210.docx,210.docx,Gerald Hicks Metropolitan Atlanta 770.329.3038 Www.linkedin.comingerald-hicks.docx,.docx,Renamed,"Gerald Hicks Metropolitan Atlanta, GA 	 770.329.3038 www.linkedin.com/in/gerald-hicks 	 gphicks11@live.com   Product Owner Versatile software leader with a unique combination of technical and business"
resume/245.docx,245.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:       Current work situation (Job title, responsibilities, etc) CNay is currently with Ulta as a contractor through Tek Systems where she has worked on 2 large projec"
resume/244.docx,244.docx,Cnay Hines 917 734 9933 Cnay.hinesgmail.com.docx,.docx,Renamed,"C’Nay L. Hines  (917) 734 – 9933 cnay.hines@gmail.com  Key Skills & Core Competencies   CAREER PROGRESSION & LEADERSHIP PERFORMANCE  Ulta Beauty (contract) – Bolingbrook, IL                           "
resume/269.docx,269.docx,Sheila Hinson Jacksonville 727-303-2727 Hinsonstpetehotmail.com Summary.docx,.docx,Renamed,"Sheila Hinson Jacksonville, Fl 727-303-2727 hinsonstpete@hotmail.com  Summary  20+ years of experience in the healthcare and payment processing industries as well as short contract work for companies "
resume/388.docx,388.docx,Cnay Hines 917 734 9933 Cnay.hinesgmail.com.docx,.docx,Renamed,"C’Nay L. Hines  (917) 734 – 9933 cnay.hines@gmail.com  Key Skills & Core Competencies   CAREER PROGRESSION & LEADERSHIP PERFORMANCE  Ulta Beauty (contract) – Bolingbrook, IL                           "
resume/389.docx,389.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:       Current work situation (Job title, responsibilities, etc) CNay is currently with Ulta as a contractor through Tek Systems where she has worked on 2 large projec"
resume/398.docx,398.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.) Agile project converts a legacy application to new technology (claim applications) Motivation for looking"
resume/410.docx,410.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.) Working on case managing system  Motivation for looking/leaving? The company might shut down because they"
resume/489.docx,489.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:    Current work situation (Job title, responsibilities, etc)   Gerald was caught in the second round of layoffs late last year with NCR. He had spent the last 7 years"
resume/490.docx,490.docx,Gerald Hicks Metropolitan Atlanta 770.329.3038 Www.linkedin.comingerald-hicks.docx,.docx,Renamed,"Gerald Hicks Metropolitan Atlanta, GA 	 770.329.3038 www.linkedin.com/in/gerald-hicks 	 gphicks11@live.com   Product Owner Versatile software leader with a unique combination of technical and business"
resume/520.docx,520.docx,,.docx,No meaningful text,
resume/663.docx,663.docx,Title Product Analyst Are Seeking Seasoned.docx,.docx,Renamed,Title: Product Analyst We are seeking a seasoned individual to fill a crucial delivery role in our Software Product Engineering organization. Our Product Analyst community is built on a solid foundati
resume/664.docx,664.docx,Title Product Management Leader Are Seeking.docx,.docx,Renamed,"Title: Product Management, Leader We are seeking a seasoned individual to fill a crucial leadership role in our Software Product Engineering organization. Our Product Management community is built on "
resume/689.docx,689.docx,Title Product Management Leader Are Seeking.docx,.docx,Renamed,"Title: Product Management, Leader We are seeking a seasoned individual to fill a crucial leadership role in our Software Product Engineering organization. Our Product Management community is built on "
resume/688.docx,688.docx,Title Product Analyst Are Seeking Seasoned.docx,.docx,Renamed,Title: Product Analyst We are seeking a seasoned individual to fill a crucial delivery role in our Software Product Engineering organization. Our Product Analyst community is built on a solid foundati
resume/705.docx,705.docx,Paul Singh Product Manager Atlanta Experience.docx,.docx,Renamed,"Paul Singh Product Manager | Atlanta, GA    EXPERIENCE HIGHLIGHTS Proficient Product Manager with three plus years of experience in industries such as: Quick Serve Restaurants – Mobile application dis"
resume/1030.docx,1030.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  George is currently a Sr. Business Analyst with Citi. He is the lead BA for Citi retail services, suppor"
resume/1126.docx,1126.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,"SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI, NHXS & ClaimLogic STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS IN"
resume/1148.docx,1148.docx,,.docx,No meaningful text,
resume/1147.docx,1147.docx,Chhavi Katyal Chhavi.katyalgmail.com 602-500-8877 Currently Playing.docx,.docx,Renamed,Chhavi Katyal chhavi.katyal@gmail.com | 602-500-8877  I’m currently playing the role of a senior PO handling the complete BAU workspace for Enterprise API services for Truist Bank. The Bank is current
resume/1192.docx,1192.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI Core Product Set STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS INC.
resume/1262.docx,1262.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  George is currently a Sr. Business Analyst with Citi. He is the lead BA for Citi retail services, suppor"
resume/1511.docx,1511.docx,Recruiter Screen Submission Form Current Work.docx,.docx,Renamed,"Recruiter Screen Submission Form:   Current work situation (Job title, responsibilities, etc.)  Bilal is currently a Sr. Product Manager at ADP, responsible for two enterprise payroll solutions (redes"
resume/1531.docx,1531.docx,Candace Byrd Incident Manager Atlanta Experience.docx,.docx,Renamed,"Candace Byrd  Incident Manager | Atlanta, GA     Experience working with web-based platforms to design solutions for restaurant owners. At NCR (2019-2020), in the hospitality space, implemented contac"
resume/1565.docx,1565.docx,Conjunction Governed Master Services Agreement Dated.docx,.docx,Renamed,"CONJUNCTION WITH AND GOVERNED BY: The Master Services Agreement dated December 23, 2019 between 2U Inc. (“2U”) and Cognizant Worldwide Limited (“Cognizant”) (the “Main Agreement”).  STATEMENT OF WORK "
resume/1558.docx,1558.docx,Rev 2.29.16 Project Solution Fixed Fee.docx,.docx,Renamed,(Rev: 2.29.16) Project Solution (Fixed Fee) Work Order #1.2 This Statement of Work (sometimes referred to as an ‘SOW’) is attached to and made a part of the Master Information Technology and Computer 
resume/1618.docx,1618.docx,Product Owner Works Closely Clients Gilead.docx,.docx,Renamed,"The Product Owner works closely with the client’s (Gilead) Product Owner to ensure they can perform their work smoothly, focus on requirements’ delivery, remove roadblocks in collaboration with techni"
resume/1636.docx,1636.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI Core Product Set STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS INC.
